version,nameOrgan,image,imageAlt,name,url,alt,threeDimImage,csv
1.4,Urinary Bladder,organ:urinary-bladder,Urinary Bladder icon,Female,https://purl.humanatlas.io/ref-organ/urinary-bladder-female/v1.1,"Urinary Bladder, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/urinary-bladder-female/v1.1/assets/VH_F_Urinary_Bladder.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/urinary-bladder-female/v1.1/assets/crosswalk.csv
1.4,Urinary Bladder,organ:urinary-bladder,Urinary Bladder icon,Male,https://purl.humanatlas.io/ref-organ/urinary-bladder-male/v1.1,"Urinary Bladder, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/urinary-bladder-male/v1.1/assets/VH_M_Urinary_Bladder.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/urinary-bladder-male/v1.1/assets/crosswalk.csv
1.4,Uterus,organ:uterus,Uterus icon,Female,https://purl.humanatlas.io/ref-organ/uterus-female/v1.1,"Uterus, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/uterus-female/v1.1/assets/VH_F_Uterus.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/uterus-female/v1.1/assets/crosswalk.csv
2.0,All Organs,organ:all-organs,All Organs icon,Female,https://purl.humanatlas.io/ref-organ/united-female/v1.5,"All Organs, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/united-female/v1.5/assets/3d-vh-f-united.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/united-female/v1.5/assets/crosswalk.csv
2.0,All Organs,organ:all-organs,All Organs icon,Male,https://purl.humanatlas.io/ref-organ/united-male/v1.5,"All Organs, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/united-male/v1.5/assets/3d-vh-m-united.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/united-male/v1.5/assets/crosswalk.csv
2.0,Blood Vasculature,organ:blood-vasculature,Blood Vasculature icon,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.2,"Blood Vasculature, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/crosswalk.csv
2.0,Blood Vasculature,organ:blood-vasculature,Blood Vasculature icon,Male,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.2,"Blood Vasculature, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/crosswalk.csv
2.0,Brain,organ:brain,Brain icon,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.3,"Brain, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.3/assets/3d-vh-f-allen-brain.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.3/assets/crosswalk.csv
2.0,Brain,organ:brain,Brain icon,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.3,"Brain, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.3/assets/3d-vh-m-allen-brain.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.3/assets/crosswalk.csv
2.0,Eye,organ:eye,Eye icon,"Female, L",https://purl.humanatlas.io/ref-organ/eye-female-left/v1.2,"Eye, Female, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/eye-female-left/v1.2/assets/3d-vh-f-eye-l.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/eye-female-left/v1.2/assets/crosswalk.csv
2.0,Eye,organ:eye,Eye icon,"Female, R",https://purl.humanatlas.io/ref-organ/eye-female-right/v1.2,"Eye, Female, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/eye-female-right/v1.2/assets/3d-vh-f-eye-r.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/eye-female-right/v1.2/assets/crosswalk.csv
2.0,Eye,organ:eye,Eye icon,"Male, L",https://purl.humanatlas.io/ref-organ/eye-male-left/v1.2,"Eye, Male, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/eye-male-left/v1.2/assets/3d-vh-m-eye-l.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/eye-male-left/v1.2/assets/crosswalk.csv
2.0,Eye,organ:eye,Eye icon,"Male, R",https://purl.humanatlas.io/ref-organ/eye-male-right/v1.2,"Eye, Male, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/eye-male-right/v1.2/assets/3d-vh-m-eye-r.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/eye-male-right/v1.2/assets/crosswalk.csv
2.0,Fallopian Tube,organ:fallopian-tube,Fallopian Tube icon,"Female, L",https://purl.humanatlas.io/ref-organ/fallopian-tube-female-left/v1.1,"Fallopian Tube, Female, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/fallopian-tube-female-left/v1.1/assets/VH_F_Fallopian_Tube_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/fallopian-tube-female-left/v1.1/assets/crosswalk.csv
2.0,Fallopian Tube,organ:fallopian-tube,Fallopian Tube icon,"Female, R",https://purl.humanatlas.io/ref-organ/fallopian-tube-female-right/v1.1,"Fallopian Tube, Female, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/fallopian-tube-female-right/v1.1/assets/VH_F_Fallopian_Tube_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/fallopian-tube-female-right/v1.1/assets/crosswalk.csv
2.0,Heart,organ:heart,Heart icon,Female,https://purl.humanatlas.io/ref-organ/heart-female/v1.2,"Heart, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/heart-female/v1.2/assets/VH_F_Heart.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/heart-female/v1.2/assets/crosswalk.csv
2.0,Heart,organ:heart,Heart icon,Male,https://purl.humanatlas.io/ref-organ/heart-male/v1.2,"Heart, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/heart-male/v1.2/assets/VH_M_Heart.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/heart-male/v1.2/assets/crosswalk.csv
2.0,Kidney,organ:kidneys,Kidney icon,"Female, L",https://purl.humanatlas.io/ref-organ/kidney-female-left/v1.2,"Kidney, Female, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.2/assets/VH_F_Kidney_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.2/assets/crosswalk.csv
2.0,Kidney,organ:kidneys,Kidney icon,"Female, R",https://purl.humanatlas.io/ref-organ/kidney-female-right/v1.2,"Kidney, Female, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.2/assets/VH_F_Kidney_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.2/assets/crosswalk.csv
2.0,Kidney,organ:kidneys,Kidney icon,"Male, L",https://purl.humanatlas.io/ref-organ/kidney-male-left/v1.2,"Kidney, Male, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.2/assets/VH_M_Kidney_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.2/assets/crosswalk.csv
2.0,Kidney,organ:kidneys,Kidney icon,"Male, R",https://purl.humanatlas.io/ref-organ/kidney-male-right/v1.2,"Kidney, Male, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/crosswalk.csv
2.0,Knee,organ:knee,Knee icon,"Female, L",https://purl.humanatlas.io/ref-organ/knee-female-left/v1.1,"Knee, Female, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/knee-female-left/v1.1/assets/VH_F_Knee_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/knee-female-left/v1.1/assets/crosswalk.csv
2.0,Knee,organ:knee,Knee icon,"Female, R",https://purl.humanatlas.io/ref-organ/knee-female-right/v1.1,"Knee, Female, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/knee-female-right/v1.1/assets/VH_F_Knee_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/knee-female-right/v1.1/assets/crosswalk.csv
2.0,Knee,organ:knee,Knee icon,"Male, L",https://purl.humanatlas.io/ref-organ/knee-male-left/v1.1,"Knee, Male, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/knee-male-left/v1.1/assets/VH_M_Knee_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/knee-male-left/v1.1/assets/crosswalk.csv
2.0,Knee,organ:knee,Knee icon,"Male, R",https://purl.humanatlas.io/ref-organ/knee-male-right/v1.1,"Knee, Male, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/knee-male-right/v1.1/assets/VH_M_Knee_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/knee-male-right/v1.1/assets/crosswalk.csv
2.0,Large Intestine,organ:large-intestine,Large Intestine icon,Female,https://purl.humanatlas.io/ref-organ/large-intestine-female/v1.2,"Large Intestine, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/crosswalk.csv
2.0,Large Intestine,organ:large-intestine,Large Intestine icon,Male,https://purl.humanatlas.io/ref-organ/large-intestine-male/v1.2,"Large Intestine, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/crosswalk.csv
2.0,Larynx,organ:larynx,Larynx icon,Female,https://purl.humanatlas.io/ref-organ/larynx-female/v1.0,"Larynx, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/larynx-female/v1.0/assets/3d-vh-f-larynx.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/larynx-female/v1.0/assets/crosswalk.csv
2.0,Larynx,organ:larynx,Larynx icon,Male,https://purl.humanatlas.io/ref-organ/larynx-male/v1.0,"Larynx, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/larynx-male/v1.0/assets/3d-vh-m-larynx.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/larynx-male/v1.0/assets/crosswalk.csv
