group,group_value,date,count,order
experts,https://orcid.org/0000-0001-7620-8973,2023-06-15,1,2
experts,https://orcid.org/0000-0003-3066-2876,2023-06-15,1,2
experts,https://orcid.org/0000-0002-6601-2165,2023-08-18,1,2
experts,https://orcid.org/0000-0001-5998-9317,2023-12-01,1,2
experts,https://orcid.org/0000-0001-6190-073X,2023-12-01,1,2
experts,https://orcid.org/0000-0002-3803-2476,2023-12-01,1,2
experts,https://orcid.org/0000-0002-9369-9361,2023-12-01,1,2
experts,https://orcid.org/0000-0003-2090-574X,2023-12-01,1,2
experts,https://orcid.org/0000-0003-3047-1631,2023-12-01,1,2
experts,https://orcid.org/0000-0001-9990-8331,2023-12-05,1,2
experts,https://orcid.org/0000-0002-6299-8799,2023-12-15,1,2
experts,https://orcid.org/0000-0003-0098-4399,2023-12-15,1,2
experts,https://orcid.org/0009-0004-4649-7363,2023-12-15,1,2
experts,https://orcid.org/0000-0002-9210-2455,2023-12-15,1,2
experts,https://orcid.org/0000-0003-4752-543X,2023-12-15,1,2
experts,https://orcid.org/0009-0005-1408-596X,2023-12-15,1,2
experts,https://orcid.org/0000-0002-2212-7796,2023-12-15,1,2
experts,https://orcid.org/0000-0002-2929-7755,2023-12-15,1,2
experts,https://orcid.org/0000-0002-0254-316X,2024-06-15,1,2
experts,https://orcid.org/0000-0002-8467-3370,2024-06-15,1,2
experts,https://orcid.org/0000-0001-9561-4256,2024-06-15,1,2
experts,https://orcid.org/0000-0002-8763-6815,2024-06-15,1,2
experts,https://orcid.org/0000-0003-1280-5909,2024-06-15,1,2
experts,https://orcid.org/0000-0001-6563-0829,2024-06-15,1,2
experts,https://orcid.org/0000-0001-7593-7533,2024-06-15,1,2
experts,https://orcid.org/0000-0002-1771-4523,2024-06-15,1,2
experts,https://orcid.org/0000-0002-2950-2683,2024-06-15,1,2
experts,https://orcid.org/0000-0002-7034-0524,2024-06-15,1,2
experts,https://orcid.org/0000-0002-8335-0262,2024-06-15,1,2
experts,https://orcid.org/0000-0003-4537-9061,2024-06-15,1,2
experts,https://orcid.org/0000-0001-7636-4992,2024-06-15,1,2
experts,https://orcid.org/0000-0003-1516-8802,2024-06-15,1,2
experts,https://orcid.org/0009-0009-0194-4226,2024-06-15,1,2
experts,https://orcid.org/0000-0001-7926-1673,2024-06-15,1,2
experts,https://orcid.org/0009-0008-6509-7698,2024-08-07,1,2
experts,https://orcid.org/0000-0002-7500-8096,2024-11-23,1,2
