Entry ID,Title,Image File Name,Image File Extension,Downloads
20982,"Palatine Tonsil, Female, Right",3d-vh-f-palatine-tonsil-r_NIH3D.x3d,.x3d,2
20982,"Palatine Tonsil, Female, Right",3d-vh-f-palatine-tonsil-r_thumb_NIH3D.jpg,.jpg,0
20982,"Palatine Tonsil, Female, Right",3d-vh-f-palatine-tonsil-r_thumb_NIH3D.png,.png,1
20983,"Pancreas, Female",3d-vh-f-pancreas.glb,.glb,2
20983,"Pancreas, Female",3d-vh-f-pancreas_NIH3D.stl,.stl,6
20983,"Pancreas, Female",3d-vh-f-pancreas_NIH3D.wrl,.wrl,2
20983,"Pancreas, Female",3d-vh-f-pancreas_NIH3D.x3d,.x3d,2
20983,"Pancreas, Female",3d-vh-f-pancreas_thumb_NIH3D.jpg,.jpg,0
20983,"Pancreas, Female",3d-vh-f-pancreas_thumb_NIH3D.png,.png,2
20984,"Pelvis, Female",VH_F_Pelvis.glb,.glb,5
20984,"Pelvis, Female",vh_f_pelvis_NIH3D.stl,.stl,25
20984,"Pelvis, Female",vh_f_pelvis_NIH3D.wrl,.wrl,4
20984,"Pelvis, Female",vh_f_pelvis_NIH3D.x3d,.x3d,5
20984,"Pelvis, Female",vh_f_pelvis_thumb_NIH3D.jpg,.jpg,0
20984,"Pelvis, Female",vh_f_pelvis_thumb_NIH3D.png,.png,2
20985,"Placenta, Full Term, Female",VH_F_Placenta.glb,.glb,4
20985,"Placenta, Full Term, Female",vh_f_placenta_NIH3D.stl,.stl,7
20985,"Placenta, Full Term, Female",vh_f_placenta_NIH3D.wrl,.wrl,2
20985,"Placenta, Full Term, Female",vh_f_placenta_NIH3D.x3d,.x3d,2
20985,"Placenta, Full Term, Female",vh_f_placenta_thumb_NIH3D.jpg,.jpg,0
20985,"Placenta, Full Term, Female",vh_f_placenta_thumb_NIH3D.png,.png,1
20986,"Skin, Female",3d-vh-f-skin.glb,.glb,2
20986,"Skin, Female",3d-vh-f-skin_NIH3D.stl,.stl,16
20986,"Skin, Female",3d-vh-f-skin_NIH3D.wrl,.wrl,4
20986,"Skin, Female",3d-vh-f-skin_NIH3D.x3d,.x3d,5
20986,"Skin, Female",3d-vh-f-skin_thumb_NIH3D.jpg,.jpg,0
20986,"Skin, Female",3d-vh-f-skin_thumb_NIH3D.png,.png,3
20987,"Small Intestine, Female",VH_F_Small_Intestine.glb,.glb,3
20987,"Small Intestine, Female",vh_f_small_intestine_NIH3D.stl,.stl,9
20987,"Small Intestine, Female",vh_f_small_intestine_NIH3D.wrl,.wrl,3
20987,"Small Intestine, Female",vh_f_small_intestine_NIH3D.x3d,.x3d,3
20987,"Small Intestine, Female",vh_f_small_intestine_thumb_NIH3D.jpg,.jpg,0
20987,"Small Intestine, Female",vh_f_small_intestine_thumb_NIH3D.png,.png,4
20988,"Spinal Cord, Female",VH_F_Spinal_Cord.glb,.glb,1
20988,"Spinal Cord, Female",vh_f_spinal_cord_NIH3D.stl,.stl,1
20988,"Spinal Cord, Female",vh_f_spinal_cord_NIH3D.wrl,.wrl,1
20988,"Spinal Cord, Female",vh_f_spinal_cord_NIH3D.x3d,.x3d,1
20988,"Spinal Cord, Female",vh_f_spinal_cord_thumb_NIH3D.jpg,.jpg,0
20988,"Spinal Cord, Female",vh_f_spinal_cord_thumb_NIH3D.png,.png,1
20989,"Spleen, Female",VH_F_Spleen.glb,.glb,5
20989,"Spleen, Female",vh_f_spleen_NIH3D.stl,.stl,2
20989,"Spleen, Female",vh_f_spleen_NIH3D.wrl,.wrl,1
20989,"Spleen, Female",vh_f_spleen_NIH3D.x3d,.x3d,2
20989,"Spleen, Female",vh_f_spleen_thumb_NIH3D.jpg,.jpg,0
20989,"Spleen, Female",vh_f_spleen_thumb_NIH3D.png,.png,1
20990,"Thymus, Female",VH_F_Thymus.glb,.glb,2
20990,"Thymus, Female",vh_f_thymus_NIH3D.stl,.stl,2
20990,"Thymus, Female",vh_f_thymus_NIH3D.wrl,.wrl,1
20990,"Thymus, Female",vh_f_thymus_NIH3D.x3d,.x3d,1
20990,"Thymus, Female",vh_f_thymus_thumb_NIH3D.jpg,.jpg,0
20990,"Thymus, Female",vh_f_thymus_thumb_NIH3D.png,.png,1
20991,"Trachea, Female",3d-vh-f-trachea.glb,.glb,1
20991,"Trachea, Female",3d-vh-f-trachea_NIH3D.stl,.stl,4
20991,"Trachea, Female",3d-vh-f-trachea_NIH3D.wrl,.wrl,1
20991,"Trachea, Female",3d-vh-f-trachea_NIH3D.x3d,.x3d,1
