year,year_order,series,publications
2021,2021,Only in HRA v0.7.1,138569
2021,2021,Only in HRAlit v0.5.0,163711
2021,2021,In both datasets,79154
2022,2022,Only in HRA v0.7.1,115675
2022,2022,Only in HRAlit v0.5.0,165366
2022,2022,In both datasets,69070
2023,2023,Only in HRA v0.7.1,167204
2023,2023,Only in HRAlit v0.5.0,40187
2023,2023,In both datasets,12489
2024,2024,Only in HRA v0.7.1,184470
2024,2024,Only in HRAlit v0.5.0,0
2024,2024,In both datasets,0
2025,2025,Only in HRA v0.7.1,22961
2025,2025,Only in HRAlit v0.5.0,0
2025,2025,In both datasets,0
